name,dd,dp,dh
Heptafluoropropane (HFC),12,4,3
Chlorofluorocarbons (CFC),13.5,2.5,2
Chlorodifluoroethane (HCFC),14,3,2
Nitrogen,14,0,0
Tetrafluoroethane (HFC),14,4,0
Nitrous Oxide,15,4,2
Dimethyl Ether,15.3,6.1,5.7
Acetone,15.5,10.4,7
Boric Acid,15.5,10,14
Simethicone,15.5,0.5,2
Sodium Chloride,15.5,12,10
Water,15.5,16,42.3
Ethyl Acetate,15.8,5.3,7.2
Ascorbic Acid,16,12,16
Citric Acid Monohydrate,16,11,14
Dextrose,16,10.5,14
Ethyl Lactate,16,7.6,10.4
Ethyl Oleate,16,2,4
Ethylene Glycol Stearates,16,4,8
Glyceryl Monostearate,16,3.5,8
Glyceryl Palmitostearate,16,2.5,6.5
Hydrocarbons,16,0,1
Isopropyl Myristate,16,2,4
Isopropyl Palmitate,16,1.8,3.5
Lactic Acid,16,10,15
Lauric Acid,16,3,7
Medium-chain Triglycerides (MCTs),16,1.5,3
Menthol,16,3,9
Mineral Oil,16,0,1
Mineral Oil,16,0,1
Myristic Acid,16,3,7
Myristyl Alcohol,16,2.5,7
Octyldodecanol,16,2,5
Oleic Acid,16,2,5.5
Oleyl Alcohol,16,2.5,6
Olive Oil,16,1.5,4
Palmitic Acid,16,2,5
Paraffin,16,0,0
Peanut Oil,16,1.5,4.5
Petrolatum,16,0,0.5
Polyoxylglycerides,16,4,9
Potassium Chloride,16,10,9
Potassium Hydroxide,16,13,14
Propionic Acid,16,7,13
Safflower Oil,16,1.5,4
Sesame Oil,16,1.5,4
Sodium Borate,16,13,15
Sodium Carbonate,16,13,14
Sodium Hydroxide,16,14,14
Sodium Lauryl Sulfate,16,8,12
Sodium Stearyl Fumarate,16,5,8
Sorbitan Esters (Sorbitan Fatty Acid Esters),16,4,8
Soybean Oil,16,1.5,4
Stearic Acid,16,2,5
Stearyl Alcohol,16,2,6
Sunflower Oil,16,1.5,4
Suppository Bases (Hard Fat),16,1.5,4
Tricaprylin,16,2,4
Triolein,16,2,5
Vegetable Oil (Hydrogenated),16,1,3.5
Wax (Anionic Emulsifying),16,2.5,6
Wax (Carnauba),16,1.5,3.5
Wax (Cetyl Esters),16,2,4
Wax (Microcrystalline),16,0.5,1.5
Wax (Nonionic Emulsifying),16,2,6
Wax (White),16,0.5,1.5
Wax (Yellow),16,0.5,1.5
Zinc Stearate,16,2,4
Ethylene Vinyl Acetate,16.2,3,6
Glyceryl Behenate,16.2,2.2,5.4
Macrogol 15 Hydroxystearate,16.2,5.8,10.5
Magnesium Stearate,16.2,2,4.5
Hydroxypropyl Cellulose (Low-substituted),16.23,7,10
Ceratonia (Carob Gum),16.3,10.8,14.5
Linoleic Acid,16.4,2.2,5.5
Cetostearyl Alcohol,16.5,1.5,3
Cetyl Alcohol,16.5,1.5,3
Chlorobutanol,16.5,6.5,8
Cyclomethicone,16.5,0.5,1
Diethanolamine,16.5,9.5,11
Dimethicone,16.5,0.5,1
Docusate Sodium,16.5,9.8,12.5
Glucose (Liquid),16.5,16,22.5
Hydroxyethylmethyl Cellulose,16.5,7.5,11.5
Inulin,16.5,11,19.5
Isomalt,16.5,14.5,19.5
Magnesium Carbonate,16.5,8,8
Lanolin Alcohols,16.5,1.5,3.5
Pectin,16.5,11,20
Petrolatum and Lanolin Alcohols,16.5,1,3
Polydextrose,16.5,12,20
Polyoxyethylene Alkyl Ethers,16.5,4,8
Polyoxyethylene Castor Oil Derivatives,16.5,5.5,10
Polyoxyethylene Sorbitan Fatty Acid Esters,16.5,5,11
Polyoxyethylene Stearates,16.5,5,10
Potassium Bicarbonate,16.5,11,10
Potassium Metabisulfite,16.5,13,14
Raffinose,16.5,13,21
Sodium Bicarbonate,16.5,11,10
Sodium Metabisulfite,16.5,13,14
Sodium Phosphate (Dibasic),16.5,13,14
Sodium Phosphate (Monobasic),16.5,14,14
Sodium Sulfite,16.5,13,14
Sodium Thiosulfate,16.5,13,15
Starch,16.5,12,20
Starch (Pregelatinized),16.5,12,20
Starch (Sterilizable Maize),16.5,12,20
Sucrose,16.5,12,20
Sugar (Compressible),16.5,12,20
Sugar (Confectioner’s),16.5,12,20
Sugar Spheres,16.5,12,20
Sulfur Dioxide,16.5,8,8
Tagatose,16.5,12,20
Tragacanth,16.5,12,20
Trehalose,16.5,12,20
Vitamin E Polyethylene Glycol Succinate (TPGS),16.5,5,9
Xanthan Gum,16.5,12,20
Xylitol,16.5,12,19
Cellulose (Silicified Microcrystalline),16.6,8.8,12.8
Chitosan,16.6,10,13.5
Lactose (Monohydrate),16.6,13.5,21
Cellulose Microcrystalline,16.7,9,13
Cellulose (Powdered),16.7,9,13
Hydroxypropyl Cellulose,16.7,8,11.2
Lactose (Monohydrate and Corn Starch),16.7,12.5,19
Lactose (Spray-Dried),16.7,13,20
Cellulose Microcrystalline and Carboxymethylcellulose Sodium,16.8,9.5,13.5
Dimethylacetamide (DMA),16.8,11.5,10.2
Fructose,16.8,17,22
Glyceryl Monooleate,16.8,3.2,7
Hydroxyethyl Cellulose,16.8,8.8,12.5
Hydroxypropyl Starch,16.8,10.5,16
Lactose (Anhydrous),16.8,13.5,20.5
Lactose (Inhalation),16.8,13.5,20.5
Lactose (Monohydrate and Microcrystalline Cellulose),16.8,11,18.5
Lactose (Monohydrate and Powdered Cellulose),16.8,10.5,18
Maltose,16.8,13.5,21
Methylcellulose,16.8,7.5,12.5
Maltodextrin,16.9,12.5,19.5
Ceresin,17,1,1
Coloring Agents (avg),17,7.5,9
Erythorbic Acid,17,12.8,17.4
Ethylcellulose,17,5,9
Glycofurol,17,10,12
Guar Gum,17,11.5,20.5
Hectorite,17,8.5,13
Hydrochloric Acid,17,15,10
Hydroxypropyl Betadex (HPBCD),17,12,19
Kaolin,17,9,10
Lactitol,17,14,20
Lactose (Monohydrate and Povidone),17,11.5,17.5
Lanolin,17,3,6
Lanolin (Hydrous),17,4,10
Lecithin,17,7,23
Magnesium Aluminum Silicate,17,9,12
Magnesium Trisilicate,17,8,9
Maltitol,17,14,20
Maltitol Solution,17,13,19
Monoethanolamine,17,13.5,18
Monothioglycerol,17,9,17
Phospholipids,17,7,13
Phosphoric Acid,17,14,18
Polacrilin Potassium,17,10,12
Polyethylene Glycol (PEG),17,6,11
Polyethylene Oxide (PEO),17,5.5,10.5
Potassium Alginate,17,12,18
Potassium Citrate,17,13,15
Potassium Sorbate,17,11,12
Propylene Glycol Alginate,17,9,17
Saponite,17,9,15
Sodium Acetate,17,12,13
Sodium Alginate,17,13,18
Sodium Ascorbate,17,14,18
Sodium Citrate Dihydrate,17,13,15
Sodium Formaldehyde Sulfoxylate,17,13,13
Sodium Hyaluronate,17,14,20
Sodium Lactate,17,11,15
Sodium Propionate,17,11,13
Sodium Starch Glycolate,17,10,18
Sorbic Acid,17,7,10
Sucralose,17,10,16
Sulfobutylether β-Cyclodextrin,17,11,19
Thaumatin,17,11,20
Titanium Dioxide,17,5,10
Triacetin,17,8.5,8
Tributyl Citrate,17,6,8
Triethanolamine,17,11,16
Triethyl Citrate,17,6,8
Zein,17,7,11
Zinc Acetate,17,13,14
Erythritol,17.1,15,21
Hypromellose (HPMC),17.1,8,14
Mannitol,17.1,13,22
Hypromellose Acetate Succinate,17.2,7,10
Imidurea,17.2,9,14
Lanolin Alcohols,17.2,3.5,8.5
Ethyl Maltol,17.3,8.4,13
Maltol,17.3,8,13
Glycerin,17.4,12.1,29.3
Hypromellose Phthalate,17.4,3.5,10.5
Meglumine,17.4,12.8,20
Propylene Glycol,17.4,11,19
Glycerol,17.4,9.3,13.8
Almond Oil,17.5,2,3
Ascorbyl Palmitate,17.5,4.5,7.5
Butylene Glycol,17.5,8,11
Canola Oil,17.5,2,3
Coconut Oil,17.5,2,3
Corn Oil,17.5,2,3
Cottonseed Oil,17.5,2,3
Dibutyl Sebacate,17.5,3,4
Fumaric Acid,17.5,13,14
Gelatin,17.5,11,19
Leucine,17.5,10.5,12
Magnesium Silicate,17.5,7,6.5
Methionine,17.5,10.5,12
Monosodium Glutamate,17.5,15,20
Neohesperidin Dihydrochalcone,17.5,10,16
Poloxamer,17.5,5.5,11.5
Polycarbophil,17.5,11,18
Potassium Alum,17.5,15,16
Potassium Benzoate,17.5,18,12
Sodium Cyclamate,17.5,11,14
Sorbitol,17.5,10,13.5
Sucrose Octaacetate,17.5,6,9
Tartaric Acid,17.5,12,20
Thymol,17.5,4.5,9.5
Glycine,17.5,10.8,13
Calcium Stearate,17.6,3.5,6.5
Hexetidine,17.6,6.4,7.8
Malic Acid,17.6,13.5,17
Urea,17.6,13.5,16
Sodium acetate,17.6,10.2,12.8
L-Lysine,17.7,11,13.8
Sodium Lactate,17.7,10.5,13.2
Cetrimide,17.8,6,7.2
Edetic Acid (EDTA),17.8,19.2,22
Glycine,17.8,13.2,14.3
sodium xylene sulfonate ,17.8,8.8,10.5
L- Arginine ,17.8,11.2,14
Sodium Citrate ,17.8,10.8,13.8
Sodium Salicylate,17.9,10.2,13
Benzoic Acid,18,7,9
Benzyl Alcohol,18,5.3,8
Cetylpyridinium Chloride,18,6.5,8
